Time,Track Title,Artist Name,Spotify URL,Apple URL
0:00:00,Before Dawn,Men I Trust,https://open.spotify.com/track/74qn7Z1icF6rB9kUiVFUFm?si=c4cb5bbc9bb845dd,https://music.apple.com/us/song/before-dawn/1720804667
0:03:27,Lovers Rock,TV Girl,https://open.spotify.com/track/1H7zdcRD0gLGQY0w5ejGgX?si=1f9bae640f424a28,https://music.apple.com/us/song/lovers-rock/1623929730
0:06:49,Holding On,Tirzah,https://open.spotify.com/track/4RjwMyr4D2W4py79Heop9l?si=1b7cb90cb2f0487f,https://music.apple.com/us/song/holding-on/1372737665
0:10:03,Pick Up the Pieces,Average White Band,https://open.spotify.com/track/2x1LQq8lsUzAA2wNj8yjC9?si=54e4b85408304432,https://music.apple.com/us/song/pick-up-the-pieces/300967827
0:14:00,Countryside,"Blood Orange, Eva Tolkin, Liam Benzvi, Ian Isiah",https://open.spotify.com/track/3kCRMqCVZZwJOR3Opkk62R?si=bb2a016748b1486f,https://music.apple.com/us/song/countryside-feat-eva-tolkin-liam-benzvi-ian-isiah/1825903914
0:17:04,Lifelong Song,Men I Trust,https://open.spotify.com/track/7Ju5iOprgAdY8qimqzTwZR?si=9dc6edb474ae4af4,https://music.apple.com/us/song/lifelong-song/1720804673
0:19:48,Love Songs on the Radio,Mojave 3,https://open.spotify.com/track/3FzK2g50oLcx8vqETwOn07?si=4e59f35cf8d14ade,https://music.apple.com/us/song/love-songs-on-the-radio/1137845959
0:25:17,Real Thing,"Drugdealer, Weyes Blood",https://open.spotify.com/track/7z5wTQlgqpCm3kvhn6s9Xh?si=a468c621186c412b,https://music.apple.com/us/song/real-thing/1812966932
0:28:18,Pulsewidth,Aphex Twin,https://open.spotify.com/track/643gyipSU7dkmrFhJ8UAIm?si=d6684f018f8349ab,https://music.apple.com/us/song/pulsewidth/1668862662
0:31:32,Chompy's Paradise,BADBADNOTGOOD,https://open.spotify.com/track/3hSYKS1AM5OzPSoV6DJ4rx?si=7575fd536726442d,https://music.apple.com/us/song/chompys-paradise/1608122419
0:35:15,Thoughts in my Mind,"Donnie & Joe Emerson, Eldon",https://open.spotify.com/track/0rPc2m5HUqa1g8npvSS6kl?si=6d0a1022025947b4,https://music.apple.com/us/song/thoughts-in-my-mind-feat-eldon/1790686666
0:37:47,Jazz (We've Got),A Tribe Called Quest,https://open.spotify.com/track/75v0EHrardEAziIVMCQTmi?si=8ce876853b934dbd,https://music.apple.com/us/song/jazz-weve-got/278911475
0:41:36,Glad to Be Unhappy,Paul Desmond,https://open.spotify.com/track/32lOOtajLkCfJLMIXqrkyA?si=7589a2e55d814af1,https://music.apple.com/us/song/glad-to-be-unhappy/274025082
0:46:03,Chapter Six,Kendrick Lamar,https://open.spotify.com/track/3DBFOXJKitLKUjlyOCX7ow?si=3635a1ba316b486f,https://music.apple.com/us/song/chapter-six/1475039114
0:48:25,Don't Look Back,Natural Magic,https://open.spotify.com/track/0pIR7uWN2KO2huZ63uiinp?si=5ae7574b07b04ab0,https://music.apple.com/us/song/dont-look-back/1854465549
0:55:42,Heaven,"The Rolling Stones, Bob Clearmountain",https://open.spotify.com/track/0QVJsWtmgj9SWZaLYiX2i3?si=42234429813a4882,https://music.apple.com/us/song/heaven/1440812313
0:59:31,Crepuscule Leger,Satoshi & Makoto,https://open.spotify.com/track/7nxDB3xbrAA93OQmRVtVfW?si=d29319553468441a,https://music.apple.com/us/song/crepuscule-leger/1292342003
1:06:03,The Time Has Come,Freak Heat Waves,https://open.spotify.com/track/0WdDhCrOSsosTLvGwAq5ep?si=d56d04d35e3a4db0,https://music.apple.com/us/song/the-time-has-come/1690996561
1:09:38,Wood Cabin,Saint Etienne,https://open.spotify.com/track/2DvjHHtTjwlrMXyFKxPvXr?si=1df7e168be6c43c2,https://music.apple.com/us/song/wood-cabin/1237419153
1:13:19,O'locco - Radioland,sun electric,https://open.spotify.com/track/6FrHgBBnsT6lF3aIXWN4Mk?si=86c5964acf5846fb,https://music.apple.com/us/song/olocco-radioland/1115793149
