Time,Track Title,Artist Name,Spotify URL,Apple URL
0:00:00,oh baby,LCD Soundsystem,https://open.spotify.com/track/53PkA8aXiwH4ppa0V0iO7o?si=c220f4d561cf4300,https://music.apple.com/us/song/oh-baby/1258823631
0:05:45,Shark Smile,Big Thief,https://open.spotify.com/track/0Fc0vCE3yWvAGKbU5twVOz?si=1d4ca34096a343fa,https://music.apple.com/us/song/shark-smile/1751255078
0:09:41,Otis,The Durutti Column,https://open.spotify.com/track/7A2yhrdnFspRjpX8RC8UW1?si=1d6b8eda30984d7b,https://music.apple.com/us/song/otis/1322069315
0:13:26,August 10,Khruangbin,https://open.spotify.com/track/4I59UjiR1vDGGdLmdvFoJO?si=2d2639174da44882,https://music.apple.com/us/song/august-10/1299241646
0:17:42,Watchlar,Cocteau Twins,https://open.spotify.com/track/7I36fcz2SBQDKQNTDVhwu4?si=f2992ee753e64b45,https://music.apple.com/us/song/watchlar/311000485
0:20:55,By Your Side,Sade,https://open.spotify.com/track/7H3ojI1BsVy0dEJENqMt1k?si=f8475db36a68497c,https://music.apple.com/us/song/by-your-side/193532153
0:25:13,Empty And Silent,"Mount Kimbie, King Krule",https://open.spotify.com/track/1SFUxSbBQbJqjN9rFOmYGk?si=a17278f669424b06,https://music.apple.com/us/song/empty-and-silent-feat-king-krule/1724023036
0:31:21,Wifey,Next,https://open.spotify.com/track/3NEzjZbeSCy72Kx1clSYgC?si=b300eb5c10914869,https://music.apple.com/us/song/wifey/303078580
0:35:03,For Days - Original Mix,"Satin Jackets, KLP",https://open.spotify.com/track/4q0tzj5mxNmjZFk3zDS2tg?si=20011f82fde74c69,https://music.apple.com/us/song/for-days-feat-klp/767606768
0:40:06,Cause I'm A Man,Tame Impala,https://open.spotify.com/track/2O99aywAVBhaPrsiJ6zbSS?si=b0831ed42d5c459e,https://music.apple.com/us/song/cause-im-a-man/1440838697
0:44:01,Scorpio,"james K, hoodie",https://open.spotify.com/track/0CgtgR2Rz4z9zmbclEhpg8?si=3debfd5df24a4c13,https://music.apple.com/us/song/scorpio/1690575493
,,,,
,,,,
,,,,
,,,,
,,,, 
