Time,Track Title,Artist Name,Spotify URL,Apple URL
0:00:00,I Wanna Smoke,"Gangsta Pat, Psycho",https://open.spotify.com/track/6aSpOtfzxFZ7hy0Bom7c1k?si=d67daa142ef84d50,https://music.apple.com/us/song/i-wanna-smoke-feat-psyscho/493323039
0:04:58,HIDEO NOMO,"Action Bronson, Julian Love",https://open.spotify.com/track/6kGEk4Kn37oVafNoBvskWt?si=2582e91fa171467a,https://music.apple.com/us/song/hideo-nomo-feat-julian-love/1755234655
0:07:58,Naima,John Coltrane,https://open.spotify.com/track/360beQMahQ2FdZ9OmWYiBT?si=86720353c6e44ab3,https://music.apple.com/us/song/naima-2020-remaster/1531037509
0:12:16,Find My Soul - Norwegian Elecrojazz Mix,Sally Shapiro,https://open.spotify.com/track/7CQc0uqZ1D8SF0dqUVnxyD?si=c7271515caf64375,https://music.apple.com/us/song/find-my-soul-norwegian-electrojazz-mix/416619208
0:16:34,No-One in the World,Locust,https://open.spotify.com/track/4eCgoHGTLuZshiHWitgAtT?si=77c2b9687b2d4d13,https://music.apple.com/us/song/no-one-in-the-world/1454544038
0:21:53,You Ain't gotta Lie (Momma Said),Kendrick Lamar,https://open.spotify.com/track/7A3ETuOrieyx9KSF0sn0Zf?si=f94bf08ab6514edb,https://music.apple.com/us/song/you-aint-gotta-lie-momma-said/1440829888
0:25:27,Feeling,Billie Marten,https://open.spotify.com/track/5J6TfufAsesi9BPnvlgBl8?si=7af2ca95a09a4375,https://music.apple.com/us/song/feeling/1796240057
0:28:26,Video Life,Chris Spedding,https://open.spotify.com/track/64bWAl2OJFilKBf8bl5rXx?si=5a1f31df14454516,https://music.apple.com/us/song/video-life/696653111
0:31:35,Take Da Charge,Project Pat,https://open.spotify.com/track/2XOKoaCWziW0W14DPeY7XS?si=88a404c76d834652,https://music.apple.com/us/song/take-da-charge/322812978
0:34:40,Love Come Down,"Evelyn ""Champagne"" King",https://open.spotify.com/track/17EVu5b0l5uo2gErSfqEt1?si=ab7bf1603d3d418c,https://music.apple.com/us/song/love-come-down/535924528
0:40:38,My Old Man,Mac DeMarco,https://open.spotify.com/track/6NxkpxmxVKrljCGs24qrf2?si=18a6fb45e0864280,https://music.apple.com/us/song/my-old-man/1198763618
0:44:11,Nunca,Y La Bamba,https://open.spotify.com/track/5pU82TRphKp8dTyIICg9zv?si=bf40e9075b854ca8,https://music.apple.com/us/song/nunca/1661175742
0:48:23,Transitions,Ween,https://open.spotify.com/track/2cuFy3rSSl89JbmnjiF12O?si=351f8879de264bbb,https://music.apple.com/us/song/transitions/81200215
0:52:03,Shame On The Devil,Vince Staples,https://open.spotify.com/track/0QRnwEnFkjPZCk6YokFxhw?si=93cab99fae124705,https://music.apple.com/us/song/shame-on-the-devil/1747072586
