,Track Title,Artist Name,Spotify URL,Apple URL
0:00:00,Les Be Honest,Connan Mockasin,https://open.spotify.com/track/1KxOXn8YRPveBMJrdLWaiX?si=5bf7ebd5c8614b5a,https://music.apple.com/us/song/les-be-honest/1775782813
0:03:41,I Got The...,Labi Siffre,https://open.spotify.com/track/20VuO95A8RxUPlShnfYArW?si=cfc557ecb71b4e20,https://music.apple.com/us/song/i-got-the-2006-remastered-version/693296471
0:09:46,Solid Wall of Sound,"A Tribe Called Quest, Busta Rhymes, Jack White, Elton John",https://open.spotify.com/track/5OzOQRssjhxaBj0xd78Z2w?si=db91a40625d34ff3,https://music.apple.com/us/song/solid-wall-of-sound/1174628964
0:13:03,Life We Live,Project Pat,https://open.spotify.com/track/3A4S0o95OxSgRbqEnEMsn4?si=7342c045b53048de,https://music.apple.com/us/song/life-we-live-feat-namond-lumpkin-edgar-fletcher/1645400690
0:16:50,Behind Bars,Slick Rick,https://open.spotify.com/track/1kxq2ByL62HX8YQQdvK3mz?si=8405b44faa5b449a,https://music.apple.com/us/song/behind-bars/1442992102
0:20:03,Cool Out Son,Junior Murvin,https://open.spotify.com/track/3yVQkZeKZWZnu1aObNNvey?si=cfa5132e2b934e9f,https://music.apple.com/us/song/cool-out-son/285308129
0:23:13,So What,"Miles Davis, John Coltrane, Cannonball Adderley, Bill Evans",https://open.spotify.com/track/7q3kkfAVpmcZ8g6JUThi3o?si=440d97f8d47f4811,https://music.apple.com/us/song/so-what/268443097
