Time,Track Title,Artist Name,Spotify URL,Apple URL
0:00:00,Dahlia,Okonski,https://open.spotify.com/track/1fJImmDh9S8y9LepHdMSIi?si=ed69d3555c3144ce,https://music.apple.com/us/song/dahlia/1781719902
0:02:58,Venetian Screens,CCFX,https://open.spotify.com/track/7tHW4Le2YvCKKPhDETvFc4?si=1ba0bf58db204053,https://music.apple.com/us/song/venetian-screens/1280661969
0:07:20,Surf or Not,"Connan Mockasin, Andrew VanWyngarden",https://open.spotify.com/track/0i4hYoxyWxR6CMtGY0FteJ?si=27986d6ea1df4c5d,https://music.apple.com/us/song/surf-or-not/1775748977
0:08:25,Once Bitten - Original 1988 Mix,Kim Yaffa,https://open.spotify.com/track/4hEY8EKqMIJzsOE7MyL5ab?si=9c383e9cc66b4cf5,https://music.apple.com/us/song/once-bitten-original-1988-mix/1727468507
0:12:07,A thousand lies,Smerz,https://open.spotify.com/track/0EZ0x0i38nuPn9DXpgIBsF?si=7d54011e187a40c1,https://music.apple.com/us/song/a-thousand-lies/1793430151
0:16:13,In & Out,Moon King,https://open.spotify.com/track/5rIVZHjz4VJIqFLPfsFEmD?si=a8ca44b34062478b,https://music.apple.com/us/song/in-out/1266342551
0:20:39,Love Come Down,Barry Biggs,https://open.spotify.com/track/4VHtdJ0ekkxK9OG5SEwHZ9?si=af1cf572746c4d1c,https://music.apple.com/us/song/love-come-down/1117123560
0:24:56,Si Phan Don Lovers Rock,"SRIRAJAH SOUND SYSTEM, Molam Inteng Keawbuala",https://open.spotify.com/track/0eFGZz7YAKqSSt975Gry4w?si=974d30e3742643d3,https://music.apple.com/us/song/si-phan-don-lovers-rock-feat-molam-inteng-keawbuala/1743749162
0:29:54,Al oeste,Juana Molina,https://open.spotify.com/track/6fe8ZuY4fiKcTzeIV9oXYG?si=6957b8983eb84258,https://music.apple.com/us/song/al-oeste/1207480918
0:33:06,30 Hours,Kanye West,https://open.spotify.com/track/2CHmgtK8OCL28WtIK96u4N?si=757dd53555e4416d,https://music.apple.com/us/song/30-hours/1443063992
0:37:28,Feisty - Erika de Casier EDIT,"Smerz, Erika de Casier",https://open.spotify.com/track/5di5j7CqrNxPCD2x8looz1?si=7ff1180ad0064eb4,https://music.apple.com/us/song/feisty-erika-de-casier-edit/1845101247
0:40:15,This Must Be the Place (Naive Melody),"BADBADNOTGOOD, Norah Jones",https://open.spotify.com/track/4L27dxvc0dyktg4nGvfW4r?si=4b40e97759be4c68,https://music.apple.com/us/album/this-must-be-the-place-naive-melody-feat-norah-jones-single/1741988491
0:44:19,Where Are We Going?,Donald Byrd,https://open.spotify.com/track/3E26XqV2an7iMYoEcUVdj4?si=caea8a46c561452e,https://music.apple.com/us/song/where-are-we-going/1443275270
0:48:35,Terrorize My Heart (Disco Dub),79.5,https://open.spotify.com/track/25eNWddtIEcf0ERrxdAzdZ?si=59a16941500c4ec4,https://music.apple.com/us/song/terrorize-my-heart-disco-dub-bonus-track-bonus-track/1472448838
0:51:44,John Cage,Ross from Friends,https://open.spotify.com/track/2JzjJXF1FbbSWaphUxTUFS?si=f60cd2632c5e49fc,https://music.apple.com/us/song/john-cage/1354822110
0:55:43,Said It Again,Isola,https://open.spotify.com/track/5ZPZgrZRGoWS8Yv66zUx4J?si=9e8154f4ee1a4c6d,https://music.apple.com/us/song/said-it-again/1570513346
