Time,Track Title,Artist Name,Spotify URL,Apple URL
0:00:00,a break from the ads,"not ur bride, PRI, Blue Ringed Baby",https://open.spotify.com/track/5YAOYS6OGG4krSggWoMnjC?si=019810bd861f4730,https://music.apple.com/us/song/a-break-from-the-ads-feat-pri/1670067426
0:02:58,Fade Into You,Mazzy Star,https://open.spotify.com/track/1LzNfuep1bnAUR9skqdHCK?si=62fe05fd38e6486b,https://music.apple.com/us/song/fade-into-you/1440848810
0:07:38,When We Met,Dana and Alden,https://open.spotify.com/track/2nv02vrZnjM0isbCU9HG1w?si=7563faa1274a46c4,https://music.apple.com/us/song/when-we-met/1690942807
0:10:18,davina mccall,Wet Leg,https://open.spotify.com/track/4KVYz4U1Vm3pvjhhhS1E6s?si=c8cec196a5724074,https://music.apple.com/us/song/davina-mccall/1802918485
0:14:03,Flames shards goo,ML Buch,https://open.spotify.com/track/03vUSQpYEQryhvhI4VUsqb?si=40f47551236b4ab2,https://music.apple.com/us/song/flames-shards-goo/1709666906
0:17:47,Sweet Jane - Live,The Velvet Underground,https://open.spotify.com/track/08gy68MItzkU63qIOkORO1?si=defad0dbd01e47fd,https://music.apple.com/us/song/sweet-jane-live-in-san-francisco-1969/1469587514
0:21:56,Hai capito o no? - Live,Ron,https://open.spotify.com/track/03n7Jbv5MYzD91lr54VtTz?si=15f23053efd74185,https://music.apple.com/us/song/hai-capito-o-no-live/1600672475
0:25:35,Us Ephemeral (George Clanton Remix),"Vitesse X, George Clanton",https://open.spotify.com/track/0VWceZqy5yvHrRrxWQqmn1?si=f7d29612a88d4628,https://music.apple.com/us/song/us-ephemeral-george-clanton-remix/1607567132
0:29:39,Days Incomplete,Fine,https://open.spotify.com/track/7hzXbAbf3okLa0kpb39tG9?si=65ba2a6c99c64937,https://music.apple.com/us/song/days-incomplete/1739659951
0:33:17,Celestial Hands,BADBADNOTGOOD,https://open.spotify.com/track/3i5FhWoFQBo3zZr1QgPJ7H?si=462c304278824ca9,https://music.apple.com/us/song/celestial-hands/1745103813
0:38:35,Beasty,Babe Rainbow,https://open.spotify.com/track/6q6sdOxJ2cnr8cvYvEs1mA?si=ff5e642fe3a948e0,https://music.apple.com/us/song/beasty/1471510144
0:42:25,James,MGMT,https://open.spotify.com/track/54hdBH6z6hMBUpC9fAMs3s?si=4bf67898c0f2463f,https://music.apple.com/us/song/james/1334814535
0:45:45,Astro-Mancy,MGMT,https://open.spotify.com/track/1Abd0NcpEPa113NS7Oiwq3?si=82bc165ffc294083,https://music.apple.com/us/song/astro-mancy/680639568
