Time,Track Title,Artist Name,Spotify URL,Apple URL
0:00:00,Skylark,Celestial,https://open.spotify.com/track/2tnOr5zwil4mUuvxnD3wYC?si=d607612c1d584e74,https://music.apple.com/us/song/skylark/1812942598
0:05:14,Marigold,snuggle,https://open.spotify.com/track/2JhpvYDYt5RTQVJPQARNYa?si=5532b752534047b6,https://music.apple.com/us/song/marigold/1785781042
0:08:46,Wildfire,"Placid Angles, Yushh",https://open.spotify.com/track/3RXJ6ZnpGaof2pYinUpg8s?si=b540baab301849ac,https://music.apple.com/us/song/wildfire/1853996085
0:14:26,Cannock Chase,Labi Siffre,https://open.spotify.com/track/0WAEGVylZjbe2mQ6Or6HxY?si=7b12f41cacf14285,https://music.apple.com/us/song/cannock-chase/1010789756
0:18:23,One More Night,System Olympia,https://open.spotify.com/track/1QsZWbjS93puiIlozgkAG6?si=ebe1a726ac644f17,https://music.apple.com/us/song/one-more-night/1600440789
0:22:45,Jackie Paints,Spencer Callum,https://open.spotify.com/track/1Xye8PztQEeuNYvV85WB1q?si=64d34376c5ac4f3c,https://music.apple.com/us/song/jackie-paints/1855549848
0:26:55,Talk About It,Acopia,https://open.spotify.com/track/64nbpPlATaPwdCzjlVZn3q?si=78909f7783d84e33,https://music.apple.com/us/song/talk-about-it/1814167080
0:30:42,Chintamani,Céline Dessberg,https://open.spotify.com/track/2of9joj3ddogAZl4i0jVmg?si=264facac47bb47b6,https://music.apple.com/us/song/chintamani/1789111987
0:34:06,Shinzo No Tobira,Mariah,https://open.spotify.com/track/6asUhV1w2Zk1xMZvsp4xQy?si=218cae1b59d54355,https://music.apple.com/us/song/shinzo-no-tobira/1472149509
0:38:40,In A Sentimental Mood,"Duke Ellington, John Coltrane",https://open.spotify.com/track/0E8q2Fx2XuzXCO2NSAppkR?si=2ad0396725934721,https://music.apple.com/us/song/in-a-sentimental-mood/1440911925
0:42:45,Inner City Blues (Make Me Wanna Holler),Marvin Gaye,https://open.spotify.com/track/5hReWjUHqPqkHi31G7izL4?si=d9142ad6c46047fc,https://music.apple.com/us/song/inner-city-blues-make-me-wanna-holler/1538081861
0:47:59,Vilia - Take 3,John Coltrane,https://open.spotify.com/track/1vvMqMOGxXgaqprepMaatH?si=dca596b7f709482a,https://music.apple.com/us/song/vilia-take-3/1394187463
0:53:25,Hands of Love,Placid Angles,https://open.spotify.com/track/5PJSTxDPp6Qt2tGHOiRQ7Z?si=b062c1e56cd042cd,https://music.apple.com/us/song/hands-of-love/1853996087
