Time,Track Title,Artist Name,Spotify URL,Apple URL
0:00:00,Me Gustas Tu,Manu Chao,https://open.spotify.com/track/6b37xrsNCWYIUphFBazqD6?si=209450219e044a42,https://music.apple.com/us/song/me-gustas-t%C3%BA/726124491
0:03:55,Quick Canal,"Atlas Sound, Laetita Sadier",https://open.spotify.com/track/2mJhNvt2dDCfcNn8IZg6sF?si=22f2785e84374d2d,https://music.apple.com/us/song/quick-canal-with-laetitia-sadier-feat-laetitia-sadier/327300096
0:11:01,I Feel the Rhythm - Inner Experience Revision,Ron Trent,https://open.spotify.com/track/3BckTSDcPrjvfWMVxVQAt2?si=f21f9bd9d7a84837,https://music.apple.com/us/song/i-feel-the-rhythm-inner-experience-revision/1234903378
0:16:17,What You Need,"KAYTRANADA, Charlotte Day Wilson",https://open.spotify.com/track/0lWmT9NbSJRgFY6g1GHu4e?si=ea3f8a848bd7446d,https://music.apple.com/us/song/what-you-need-feat-charlotte-day-wilson/1490036361
0:19:01,Voila,Francoise Hardy,https://open.spotify.com/track/4YIZP4nlw3jV5DkXGB56iG?si=05ecbb267a164132,https://music.apple.com/us/song/voil%C3%A0-remasteris%C3%A9-en-2016/1154214221
0:22:08,Baby I'm-a Want You,Bread,https://open.spotify.com/track/7IX2e7pEShera9T1QIMvi7?si=d4725e5506a64a3b,https://music.apple.com/us/song/baby-im-a-want-you/281707592
0:24:19,All I Need,"Air, Beth Hirsh",https://open.spotify.com/track/6T10XPeC9X5xEaD6tMcK6M?si=27ed2268bac34c9f,https://music.apple.com/us/song/all-i-need/693063920
0:29:38,I Don't Wanna,Fcukers,https://open.spotify.com/track/7qkScg9F6NUKFxfX16qtWb?si=8de7ade70d264620,https://music.apple.com/us/song/i-dont-wanna/1748112118
0:30:57,Two Thousand and Seventeen,Four Tet,https://open.spotify.com/track/2ZIaH69kaz55RM4Pjx6KXl?si=37ddaa7e8f5a46ce,https://music.apple.com/us/song/two-thousand-and-seventeen/1288518126
0:34:29,Breathe (In the Air),Pink Floyd,https://open.spotify.com/track/2ctvdKmETyOzPb2GiJJT53?si=5d7f33f568c341f2,https://music.apple.com/us/song/breathe-in-the-air/1065973704
0:37:17,Everybody Love The Sunshine,Roy Ayers Ubiquity,https://open.spotify.com/track/5le4sn0iMcnKU56bdmNzso?si=507fa034c2904c05,https://music.apple.com/us/song/everybody-loves-the-sunshine/1469585198
0:40:55,Ultra Facial!,james K,https://open.spotify.com/track/3kaFCsrbWjhC0o81ZbILmU?si=7c541bc16e82422c,https://music.apple.com/us/song/ultra-facial/1585301126
0:43:11,"Sing About Me, I'm Dying Of Thirst",Kendrick Lamar,https://open.spotify.com/track/0sd6BRTa0O96tfEbFGhJF9?si=1966b99b86ca4da7,https://music.apple.com/us/song/sing-about-me-im-dying-of-thirst/1440819132
